Group,Level,Sub-Level,Description,Description,Description,Description,Description,Description,Description,Description
,122,,ការដាំដុះដំណាំផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិច,ការដាំដុះដំណាំផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិច,ការដាំដុះដំណាំផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិច,ការដាំដុះដំណាំផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិច,ការដាំដុះដំណាំផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិច,ការដាំដុះដំណាំផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិច,ការដាំដុះដំណាំផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិច,ការដាំដុះដំណាំផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិច
,,1221,ការដាំដុះដំណាំចេក,ការដាំដុះដំណាំចេក,ការដាំដុះដំណាំចេក,ការដាំដុះដំណាំចេក,ការដាំដុះដំណាំចេក,ការដាំដុះដំណាំចេក,ការដាំដុះដំណាំចេក,ការដាំដុះដំណាំចេក
,,1222,ការដាំដុះដំណាំស្វាយ,ការដាំដុះដំណាំស្វាយ,ការដាំដុះដំណាំស្វាយ,ការដាំដុះដំណាំស្វាយ,ការដាំដុះដំណាំស្វាយ,ការដាំដុះដំណាំស្វាយ,ការដាំដុះដំណាំស្វាយ,ការដាំដុះដំណាំស្វាយ
,,1223,ការដាំដុះដំណាំធុរេន​,ការដាំដុះដំណាំធុរេន​,ការដាំដុះដំណាំធុរេន​,ការដាំដុះដំណាំធុរេន​,ការដាំដុះដំណាំធុរេន​,ការដាំដុះដំណាំធុរេន​,ការដាំដុះដំណាំធុរេន​,ការដាំដុះដំណាំធុរេន​
,,1224,ការដាំដុះដំណាំសាវម៉ាវ,ការដាំដុះដំណាំសាវម៉ាវ,ការដាំដុះដំណាំសាវម៉ាវ,ការដាំដុះដំណាំសាវម៉ាវ,ការដាំដុះដំណាំសាវម៉ាវ,ការដាំដុះដំណាំសាវម៉ាវ,ការដាំដុះដំណាំសាវម៉ាវ,ការដាំដុះដំណាំសាវម៉ាវ
,,1225,ការ​ដាំដុះដំណាំមៀន,ការ​ដាំដុះដំណាំមៀន,ការ​ដាំដុះដំណាំមៀន,ការ​ដាំដុះដំណាំមៀន,ការ​ដាំដុះដំណាំមៀន,ការ​ដាំដុះដំណាំមៀន,ការ​ដាំដុះដំណាំមៀន,ការ​ដាំដុះដំណាំមៀន
,,1226,ការដាំដុះដំណាំល្ហុង,ការដាំដុះដំណាំល្ហុង,ការដាំដុះដំណាំល្ហុង,ការដាំដុះដំណាំល្ហុង,ការដាំដុះដំណាំល្ហុង,ការដាំដុះដំណាំល្ហុង,ការដាំដុះដំណាំល្ហុង,ការដាំដុះដំណាំល្ហុង
,,1227,ការដាំដុះដំណាំម្នាស់,ការដាំដុះដំណាំម្នាស់,ការដាំដុះដំណាំម្នាស់,ការដាំដុះដំណាំម្នាស់,ការដាំដុះដំណាំម្នាស់,ការដាំដុះដំណាំម្នាស់,ការដាំដុះដំណាំម្នាស់,ការដាំដុះដំណាំម្នាស់
,,1228,ការដាំដុះដំណាំស្រកានាគ,ការដាំដុះដំណាំស្រកានាគ,ការដាំដុះដំណាំស្រកានាគ,ការដាំដុះដំណាំស្រកានាគ,ការដាំដុះដំណាំស្រកានាគ,ការដាំដុះដំណាំស្រកានាគ,ការដាំដុះដំណាំស្រកានាគ,ការដាំដុះដំណាំស្រកានាគ
,,1229,ការដាំដុះផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល (១),ការដាំដុះផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល (១),ការដាំដុះផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល (១),ការដាំដុះផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល (១),ការដាំដុះផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល (១),ការដាំដុះផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល (១),ការដាំដុះផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល (១),ការដាំដុះផ្លែឈើតំបន់ត្រូពិច និងអនុតំបន់ត្រូពិចដទៃទៀត ដែលពុំបានរាប់បញ្ចូល (១)
