Group,Level,Sub-Level,Description,Description,Description,Description,Description,Description,Description,Description
663,,,សកម្មភាពគ្រប់គ្រងមូលនិធិ ,សកម្មភាពគ្រប់គ្រងមូលនិធិ ,សកម្មភាពគ្រប់គ្រងមូលនិធិ ,សកម្មភាពគ្រប់គ្រងមូលនិធិ ,សកម្មភាពគ្រប់គ្រងមូលនិធិ ,សកម្មភាពគ្រប់គ្រងមូលនិធិ ,សកម្មភាពគ្រប់គ្រងមូលនិធិ ,សកម្មភាពគ្រប់គ្រងមូលនិធិ 
,6630,,សកម្មភាពគ្រប់គ្រងមូលនិធិ,សកម្មភាពគ្រប់គ្រងមូលនិធិ,សកម្មភាពគ្រប់គ្រងមូលនិធិ,សកម្មភាពគ្រប់គ្រងមូលនិធិ,សកម្មភាពគ្រប់គ្រងមូលនិធិ,សកម្មភាពគ្រប់គ្រងមូលនិធិ,សកម្មភាពគ្រប់គ្រងមូលនិធិ,សកម្មភាពគ្រប់គ្រងមូលនិធិ
,,66300,សកម្មភាពគ្រប់គ្រងមូលនិធិ(៣),សកម្មភាពគ្រប់គ្រងមូលនិធិ(៣),សកម្មភាពគ្រប់គ្រងមូលនិធិ(៣),សកម្មភាពគ្រប់គ្រងមូលនិធិ(៣),សកម្មភាពគ្រប់គ្រងមូលនិធិ(៣),សកម្មភាពគ្រប់គ្រងមូលនិធិ(៣),សកម្មភាពគ្រប់គ្រងមូលនិធិ(៣),សកម្មភាពគ្រប់គ្រងមូលនិធិ(៣)
681,,,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ
,6810(1),,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ ,សកម្មភាពអចលនទ្រព្យ ដោយប្រើអចលនទ្រព្យផ្ទាល់ខ្លួន ឬជួលពីគេ 
,,68101(2),ការទិញ ការលក់ ការជួល និងការធ្វើអាជីវកម្មអចលនទ្រព្យផ្ទាល់ខ្លួន ឬ ជួលពីគេ,ការទិញ ការលក់ ការជួល និងការធ្វើអាជីវកម្មអចលនទ្រព្យផ្ទាល់ខ្លួន ឬ ជួលពីគេ,ការទិញ ការលក់ ការជួល និងការធ្វើអាជីវកម្មអចលនទ្រព្យផ្ទាល់ខ្លួន ឬ ជួលពីគេ,ការទិញ ការលក់ ការជួល និងការធ្វើអាជីវកម្មអចលនទ្រព្យផ្ទាល់ខ្លួន ឬ ជួលពីគេ,ការទិញ ការលក់ ការជួល និងការធ្វើអាជីវកម្មអចលនទ្រព្យផ្ទាល់ខ្លួន ឬ ជួលពីគេ,ការទិញ ការលក់ ការជួល និងការធ្វើអាជីវកម្មអចលនទ្រព្យផ្ទាល់ខ្លួន ឬ ជួលពីគេ,ការទិញ ការលក់ ការជួល និងការធ្វើអាជីវកម្មអចលនទ្រព្យផ្ទាល់ខ្លួន ឬ ជួលពីគេ,ការទិញ ការលក់ ការជួល និងការធ្វើអាជីវកម្មអចលនទ្រព្យផ្ទាល់ខ្លួន ឬ ជួលពីគេ
,,68102,ការអភិវឌ្ឍគម្រោងសាងសង់អគារ សម្រាប់អាជីវកម្មផ្ទាល់ខ្លួន (ឩ. សម្រាប់ ការដាក់ជួលផ្ទៃទំនេរនៅក្នុងអគារ(៣)),ការអភិវឌ្ឍគម្រោងសាងសង់អគារ សម្រាប់អាជីវកម្មផ្ទាល់ខ្លួន (ឩ. សម្រាប់ ការដាក់ជួលផ្ទៃទំនេរនៅក្នុងអគារ(៣)),ការអភិវឌ្ឍគម្រោងសាងសង់អគារ សម្រាប់អាជីវកម្មផ្ទាល់ខ្លួន (ឩ. សម្រាប់ ការដាក់ជួលផ្ទៃទំនេរនៅក្នុងអគារ(៣)),ការអភិវឌ្ឍគម្រោងសាងសង់អគារ សម្រាប់អាជីវកម្មផ្ទាល់ខ្លួន (ឩ. សម្រាប់ ការដាក់ជួលផ្ទៃទំនេរនៅក្នុងអគារ(៣)),ការអភិវឌ្ឍគម្រោងសាងសង់អគារ សម្រាប់អាជីវកម្មផ្ទាល់ខ្លួន (ឩ. សម្រាប់ ការដាក់ជួលផ្ទៃទំនេរនៅក្នុងអគារ(៣)),ការអភិវឌ្ឍគម្រោងសាងសង់អគារ សម្រាប់អាជីវកម្មផ្ទាល់ខ្លួន (ឩ. សម្រាប់ ការដាក់ជួលផ្ទៃទំនេរនៅក្នុងអគារ(៣)),ការអភិវឌ្ឍគម្រោងសាងសង់អគារ សម្រាប់អាជីវកម្មផ្ទាល់ខ្លួន (ឩ. សម្រាប់ ការដាក់ជួលផ្ទៃទំនេរនៅក្នុងអគារ(៣)),ការអភិវឌ្ឍគម្រោងសាងសង់អគារ សម្រាប់អាជីវកម្មផ្ទាល់ខ្លួន (ឩ. សម្រាប់ ការដាក់ជួលផ្ទៃទំនេរនៅក្នុងអគារ(៣))
682,,,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា
,6820(4),,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្ដែង ឬតាមកិច្ចសន្យា
,,68201,សកម្មភាពរបស់ភ្នាក់ងារ ឬអន្តរការីអចលនទ្រព្យ(៥),សកម្មភាពរបស់ភ្នាក់ងារ ឬអន្តរការីអចលនទ្រព្យ(៥),សកម្មភាពរបស់ភ្នាក់ងារ ឬអន្តរការីអចលនទ្រព្យ(៥),សកម្មភាពរបស់ភ្នាក់ងារ ឬអន្តរការីអចលនទ្រព្យ(៥),សកម្មភាពរបស់ភ្នាក់ងារ ឬអន្តរការីអចលនទ្រព្យ(៥),សកម្មភាពរបស់ភ្នាក់ងារ ឬអន្តរការីអចលនទ្រព្យ(៥),សកម្មភាពរបស់ភ្នាក់ងារ ឬអន្តរការីអចលនទ្រព្យ(៥),សកម្មភាពរបស់ភ្នាក់ងារ ឬអន្តរការីអចលនទ្រព្យ(៥)
,,68202,ការគ្រប់គ្រងអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា,ការគ្រប់គ្រងអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា,ការគ្រប់គ្រងអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា,ការគ្រប់គ្រងអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា,ការគ្រប់គ្រងអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា,ការគ្រប់គ្រងអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា,ការគ្រប់គ្រងអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា,ការគ្រប់គ្រងអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា
,,68203,សេវាកម្មវាយតម្លៃអចលនទ្រព្យ(៦),សេវាកម្មវាយតម្លៃអចលនទ្រព្យ(៦),សេវាកម្មវាយតម្លៃអចលនទ្រព្យ(៦),សេវាកម្មវាយតម្លៃអចលនទ្រព្យ(៦),សេវាកម្មវាយតម្លៃអចលនទ្រព្យ(៦),សេវាកម្មវាយតម្លៃអចលនទ្រព្យ(៦),សេវាកម្មវាយតម្លៃអចលនទ្រព្យ(៦),សេវាកម្មវាយតម្លៃអចលនទ្រព្យ(៦)
,,68209,សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល(៧),សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល(៧),សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល(៧),សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល(៧),សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល(៧),សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល(៧),សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល(៧),សកម្មភាពអចលនទ្រព្យ ដោយយកថ្លៃឈ្នួលដាក់ស្តែង ឬតាមកិច្ចសន្យា ដទៃទៀត ដែលពុំបានរាប់បញ្ចូល(៧)
691,,,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់
,6910(1),,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់
,,69100,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់,សកម្មភាពវិជ្ជាជីវៈច្បាប់
692,,,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ
,6920(2),,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ
,,69200,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ,សកម្មភាពគណនេយ្យ សវនកម្ម​ និងការពិគ្រោះយោបល់ផ្នែកពន្ធ
701,,,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល
,7010(1),,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល
,,70100,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល,សកម្មភាពរបស់ការិយាល័យកណ្តាល
702,,,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង
,7020(2),,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង
,,70200,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង,សកម្មភាពពិគ្រោះយោបល់ផ្នែកគ្រប់គ្រង
711,,,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ
,7110(1),,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ,សកម្មភាពស្ថាបត្យកម្មនិងវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសដែលពាក់ព័ន្ធ
,,71101,សេវាកម្មស្ថាបត្យកម្ម(២),សេវាកម្មស្ថាបត្យកម្ម(២),សេវាកម្មស្ថាបត្យកម្ម(២),សេវាកម្មស្ថាបត្យកម្ម(២),សេវាកម្មស្ថាបត្យកម្ម(២),សេវាកម្មស្ថាបត្យកម្ម(២),សេវាកម្មស្ថាបត្យកម្ម(២),សេវាកម្មស្ថាបត្យកម្ម(២)
,,71102,សេវាកម្មវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសផ្សេងទៀត(៣),សេវាកម្មវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសផ្សេងទៀត(៣),សេវាកម្មវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសផ្សេងទៀត(៣),សេវាកម្មវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសផ្សេងទៀត(៣),សេវាកម្មវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសផ្សេងទៀត(៣),សេវាកម្មវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសផ្សេងទៀត(៣),សេវាកម្មវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសផ្សេងទៀត(៣),សេវាកម្មវិស្វកម្ម និងការពិគ្រោះយោបល់បច្ចេកទេសផ្សេងទៀត(៣)
712,,,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស
,7120,,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស,ការពិសោធ និងវិភាគបច្ចេកទេស
,,71200,ការពិសោធ និងវិភាគបច្ចេកទេស(១),ការពិសោធ និងវិភាគបច្ចេកទេស(១),ការពិសោធ និងវិភាគបច្ចេកទេស(១),ការពិសោធ និងវិភាគបច្ចេកទេស(១),ការពិសោធ និងវិភាគបច្ចេកទេស(១),ការពិសោធ និងវិភាគបច្ចេកទេស(១),ការពិសោធ និងវិភាគបច្ចេកទេស(១),ការពិសោធ និងវិភាគបច្ចេកទេស(១)
721,,,ការស្រាវជ្រាវ និងអភិវឌ្ឍន៍បែបពិសោធន៍ ផ្នែកវិទ្យាសាស្ត្រធម្មជាតិនិងវិស្វកម្ម,ការស្រាវជ្រាវ និងអភិវឌ្ឍន៍បែបពិសោធន៍ ផ្នែកវិទ្យាសាស្ត្រធម្មជាតិនិងវិស្វកម្ម,ការស្រាវជ្រាវ និងអភិវឌ្ឍន៍បែបពិសោធន៍ ផ្នែកវិទ្យាសាស្ត្រធម្មជាតិនិងវិស្វកម្ម,ការស្រាវជ្រាវ និងអភិវឌ្ឍន៍បែបពិសោធន៍ ផ្នែកវិទ្យាសាស្ត្រធម្មជាតិនិងវិស្វកម្ម,ការស្រាវជ្រាវ និងអភិវឌ្ឍន៍បែបពិសោធន៍ ផ្នែកវិទ្យាសាស្ត្រធម្មជាតិនិងវិស្វកម្ម,ការស្រាវជ្រាវ និងអភិវឌ្ឍន៍បែបពិសោធន៍ ផ្នែកវិទ្យាសាស្ត្រធម្មជាតិនិងវិស្វកម្ម,ការស្រាវជ្រាវ និងអភិវឌ្ឍន៍បែបពិសោធន៍ ផ្នែកវិទ្យាសាស្ត្រធម្មជាតិនិងវិស្វកម្ម,ការស្រាវជ្រាវ និងអភិវឌ្ឍន៍បែបពិសោធន៍ ផ្នែកវិទ្យាសាស្ត្រធម្មជាតិនិងវិស្វកម្ម
